title,price,phoneContact,companyName,location,imageLink
A Brand Newly Built 3 Bedroom Apartment With Swimming Pool,"₦75,000,000",08077383399,Affyolams Property & Company,"Off Onasanya Street, Ifako, Gbagada, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2234583/066670ba7855c3-a-brand-newly-built-3-bedroom-apartment-with-swimming-pool-block-of-flats-for-sale-ifako-gbagada-gbagada-lagos.jpg
A Waterfront Luxury House,"₦500,000,000",08162503352,Consili Et Al Realty,"Osborne Estate, Ikoyi, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2055128/0658eaf7cbe09d-a-waterfront-luxury-house-detached-duplexes-for-sale-ikoyi-lagos.jpeg
Luxury 4 Bedroom Duplex With Bq In Maryland,"₦180,000,000",09132363964,Beacon Homes,"Fully Serviced 4 Bedroom Duplex, Maryland, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299006/066670c60db87d-luxury-4-bedroom-duplex-with-bq-in-maryland-for-sale-maryland-lagos.jpeg
Luxury Contemporary Affordable Home,"₦300,000,000",08162503352,Consili Et Al Realty,"Regional Road, Osapa, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2111977/065c5494345612-luxury-contemporary-affordable-home-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg
Opulent Contemporary Home Awaits A Blessed Family,"₦420,000,000",08162503352,Consili Et Al Realty,"Off Spar Road, Ikate Elegushi, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2150650/065e9ec0070e47-opulent-contemporary-home-awaits-a-blessed-family-detached-duplexes-for-sale-ikate-elegushi-lekki-lagos.jpeg
5-bedroom Furnished And Fully Detached Duplex With Bq,"₦450,000,000",+2349158203670,Full-scale Development Company Ltd,"In An Estate, Life Camp, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298997/066670b9071754-5-bedroom-furnished-and-fully-detached-duplex-with-bq-detached-duplexes-for-sale-life-camp-abuja.jpg
A Block Of Flats With A Duplex And A Bare Land,"₦200,000,000",08163611939,Alphamagnet Homes Limited,"By Egbeda Market, Egbeda, Alimosho, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2200419/06616b655bd02d-a-block-of-flats-with-a-duplex-and-a-land-block-of-flats-for-sale-egbeda-alimosho-lagos.jpg
Gated Townhouse,"₦400,000,000",08162503352,Consili Et Al Realty,"Onikoyi, Ikoyi, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2187193/0660abe436eff9-gated-townhouse-terraced-duplexes-for-sale-ikoyi-lagos.jpeg
New Contemporary Classic Home,"₦250,000,000",08162503352,Consili Et Al Realty,"Behind Romay Garden Estate Road, Ikate Elegushi, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2206007/0661c816d7d6b5-new-contemporary-classic-home-detached-duplexes-for-sale-ikate-elegushi-lekki-lagos.jpeg
New Contemporary Styled House,"₦300,000,000",08162503352,Consili Et Al Realty,"Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2222356/06629a2a8a3590-new-contemporary-styled-house-terraced-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpeg
Luxury Contemporary Home Redefined,"₦280,000,000",08162503352,Consili Et Al Realty,"Off Orchid/lafiaji Road, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2222388/06629be8e77b0c-luxury-contemporary-home-redefined-detached-duplexes-for-sale-lekki-lagos.jpeg
A Quick-invest High - End Loft,"₦325,000,000",08162503352,Consili Et Al Realty,"Admiralty Way, Lekki Phase 1, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2289710/0665f8dc3ed6d8-a-high-end-loft-terraced-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpeg
Fully Serviced 3 Bedroom Apartment Plus Bq In Ikeja,"₦80,000,000",09132363964,Beacon Homes,"3 Bedroom Apartment, Ikeja, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298995/066670b2bb31aa-fully-serviced-3-bedroom-apartment-plus-bq-in-ikeja-for-sale-ikeja-lagos.jpeg
Carcass Fully Detached Duplex,"₦200,000",08056112401,Universal Prosperity Titles And Services Ltd,"Near Sunnyvale Estate, Dakwo, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298993/066670ad606721-carcass-fully-detached-duplex-detached-duplexes-for-sale-dakwo-abuja.jpg
